48/1800 w = uniform, k = 1, l1 = 0.5, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 85.62
49/1800 w = uniform, k = 1, l1 = 0.5, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 85.61000000000001
50/1800 w = uniform, k = 1, l1 = 0.5, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 85.87
51/1800 w = uniform, k = 1, l1 = 0.5, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 85.34
52/1800 w = uniform, k = 1, l1 = 0.5, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 85.56
53/1800 w = uniform, k = 1, l1 = 0.5, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 85.54
54/1800 w = uniform, k = 1, l1 = 0.5, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 85.66
55/1800 w = uniform, k = 1, l1 = 0.5, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 85.9
56/1800 w = uniform, k = 1, l1 = 0.5, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 85.38
57/1800 w = uniform, k = 1, l1 = 0.5, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 85.73
58/1800 w = uniform, k = 1, l1 = 0.5, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 85.66
59/1800 w = uniform, k = 1, l1 = 0.5, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 85.50000000000001
60/1800 w = uniform, k = 1, l1 = 0.5, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 85.86
61/1800 w = uniform, k = 1, l1 = 1, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 85.92
62/1800 w = uniform, k = 1, l1 = 1, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 85.95
63/1800 w = uniform, k = 1, l1 = 1, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.33000000000001
64/1800 w = uniform, k = 1, l1 = 1, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 86.47
65/1800 w = uniform, k = 1, l1 = 1, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 86.19
66/1800 w = uniform, k = 1, l1 = 1, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.01
67/1800 w = uniform, k = 1, l1 = 1, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.09
68/1800 w = uniform, k = 1, l1 = 1, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.04
69/1800 w = uniform, k = 1, l1 = 1, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 86.46000000000001
70/1800 w = uniform, k = 1, l1 = 1, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 86.31
71/1800 w = uniform, k = 1, l1 = 1, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 85.87
72/1800 w = uniform, k = 1, l1 = 1, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 85.95
73/1800 w = uniform, k = 1, l1 = 1, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.15
74/1800 w = uniform, k = 1, l1 = 1, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 86.22000000000001
75/1800 w = uniform, k = 1, l1 = 1, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 86.29
76/1800 w = uniform, k = 1, l1 = 1, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 85.92
77/1800 w = uniform, k = 1, l1 = 1, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.07000000000001
78/1800 w = uniform, k = 1, l1 = 1, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.27
79/1800 w = uniform, k = 1, l1 = 1, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 86.13000000000001
80/1800 w = uniform, k = 1, l1 = 1, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 86.19
81/1800 w = uniform, k = 1, l1 = 1, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 85.94000000000001
82/1800 w = uniform, k = 1, l1 = 1, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.36
83/1800 w = uniform, k = 1, l1 = 1, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.19
84/1800 w = uniform, k = 1, l1 = 1, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 86.29
85/1800 w = uniform, k = 1, l1 = 1, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 86.24000000000001
86/1800 w = uniform, k = 1, l1 = 1, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.07000000000001
87/1800 w = uniform, k = 1, l1 = 1, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.32000000000001
88/1800 w = uniform, k = 1, l1 = 1, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.21000000000001
89/1800 w = uniform, k = 1, l1 = 1, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 86.03
90/1800 w = uniform, k = 1, l1 = 1, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 86.25
91/1800 w = uniform, k = 1, l1 = 2, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.64
92/1800 w = uniform, k = 1, l1 = 2, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.63000000000001
93/1800 w = uniform, k = 1, l1 = 2, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.65
94/1800 w = uniform, k = 1, l1 = 2, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 86.84
95/1800 w = uniform, k = 1, l1 = 2, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 86.84
96/1800 w = uniform, k = 1, l1 = 2, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.62
97/1800 w = uniform, k = 1, l1 = 2, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.66
98/1800 w = uniform, k = 1, l1 = 2, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.89
99/1800 w = uniform, k = 1, l1 = 2, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 86.81
100/1800 w = uniform, k = 1, l1 = 2, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 86.66
101/1800 w = uniform, k = 1, l1 = 2, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.58
102/1800 w = uniform, k = 1, l1 = 2, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.78
103/1800 w = uniform, k = 1, l1 = 2, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.9
104/1800 w = uniform, k = 1, l1 = 2, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 86.69
105/1800 w = uniform, k = 1, l1 = 2, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 86.76
106/1800 w = uniform, k = 1, l1 = 2, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.38
107/1800 w = uniform, k = 1, l1 = 2, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.85000000000001
108/1800 w = uniform, k = 1, l1 = 2, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.63000000000001
109/1800 w = uniform, k = 1, l1 = 2, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 86.57000000000001
110/1800 w = uniform, k = 1, l1 = 2, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 86.69
111/1800 w = uniform, k = 1, l1 = 2, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.33000000000001
112/1800 w = uniform, k = 1, l1 = 2, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.75
113/1800 w = uniform, k = 1, l1 = 2, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.45
114/1800 w = uniform, k = 1, l1 = 2, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 86.9
115/1800 w = uniform, k = 1, l1 = 2, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 86.52000000000001
116/1800 w = uniform, k = 1, l1 = 2, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.74000000000001
117/1800 w = uniform, k = 1, l1 = 2, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.78
118/1800 w = uniform, k = 1, l1 = 2, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.73
119/1800 w = uniform, k = 1, l1 = 2, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 86.89
120/1800 w = uniform, k = 1, l1 = 2, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 87.01
121/1800 w = uniform, k = 1, l1 = 2.5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.61000000000001
122/1800 w = uniform, k = 1, l1 = 2.5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.54
123/1800 w = uniform, k = 1, l1 = 2.5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.76
124/1800 w = uniform, k = 1, l1 = 2.5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 86.79
125/1800 w = uniform, k = 1, l1 = 2.5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 86.85000000000001
126/1800 w = uniform, k = 1, l1 = 2.5, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.84
127/1800 w = uniform, k = 1, l1 = 2.5, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.6
128/1800 w = uniform, k = 1, l1 = 2.5, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.88
129/1800 w = uniform, k = 1, l1 = 2.5, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 86.64
130/1800 w = uniform, k = 1, l1 = 2.5, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 86.98
131/1800 w = uniform, k = 1, l1 = 2.5, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.59
132/1800 w = uniform, k = 1, l1 = 2.5, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.86
133/1800 w = uniform, k = 1, l1 = 2.5, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.55000000000001
134/1800 w = uniform, k = 1, l1 = 2.5, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 86.87
135/1800 w = uniform, k = 1, l1 = 2.5, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 86.9
136/1800 w = uniform, k = 1, l1 = 2.5, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.67
137/1800 w = uniform, k = 1, l1 = 2.5, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.68
138/1800 w = uniform, k = 1, l1 = 2.5, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.87
139/1800 w = uniform, k = 1, l1 = 2.5, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 86.6
140/1800 w = uniform, k = 1, l1 = 2.5, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 86.86
141/1800 w = uniform, k = 1, l1 = 2.5, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.58
142/1800 w = uniform, k = 1, l1 = 2.5, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.81
143/1800 w = uniform, k = 1, l1 = 2.5, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.84
144/1800 w = uniform, k = 1, l1 = 2.5, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 86.56
145/1800 w = uniform, k = 1, l1 = 2.5, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 86.63000000000001
146/1800 w = uniform, k = 1, l1 = 2.5, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.66
147/1800 w = uniform, k = 1, l1 = 2.5, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.76
148/1800 w = uniform, k = 1, l1 = 2.5, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.79
149/1800 w = uniform, k = 1, l1 = 2.5, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 86.8
150/1800 w = uniform, k = 1, l1 = 2.5, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 86.81
151/1800 w = uniform, k = 1, l1 = 5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.91000000000001
152/1800 w = uniform, k = 1, l1 = 5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.7
153/1800 w = uniform, k = 1, l1 = 5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.86
154/1800 w = uniform, k = 1, l1 = 5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 87.15
155/1800 w = uniform, k = 1, l1 = 5, l2 = 0, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 87.07000000000001
156/1800 w = uniform, k = 1, l1 = 5, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.75
157/1800 w = uniform, k = 1, l1 = 5, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 87.1
158/1800 w = uniform, k = 1, l1 = 5, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.64
159/1800 w = uniform, k = 1, l1 = 5, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 86.98
160/1800 w = uniform, k = 1, l1 = 5, l2 = 0.5, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 86.78
161/1800 w = uniform, k = 1, l1 = 5, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.8
162/1800 w = uniform, k = 1, l1 = 5, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.63000000000001
163/1800 w = uniform, k = 1, l1 = 5, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.64
164/1800 w = uniform, k = 1, l1 = 5, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 86.95
165/1800 w = uniform, k = 1, l1 = 5, l2 = 1, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 87.08
166/1800 w = uniform, k = 1, l1 = 5, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.92
167/1800 w = uniform, k = 1, l1 = 5, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.81
168/1800 w = uniform, k = 1, l1 = 5, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 87.13000000000001
169/1800 w = uniform, k = 1, l1 = 5, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 86.98
170/1800 w = uniform, k = 1, l1 = 5, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 86.71000000000001
171/1800 w = uniform, k = 1, l1 = 5, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.74000000000001
172/1800 w = uniform, k = 1, l1 = 5, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.91000000000001
173/1800 w = uniform, k = 1, l1 = 5, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.94000000000001
174/1800 w = uniform, k = 1, l1 = 5, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 75, accuracy = 87.07000000000001
175/1800 w = uniform, k = 1, l1 = 5, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 100, accuracy = 86.6
176/1800 w = uniform, k = 1, l1 = 5, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.58
177/1800 w = uniform, k = 1, l1 = 5, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.88
